DateTime,stationId,temp_value,humidity_value,rainfall_value
2024-04-12T20:59:59,S107,28.46248144,78.67770531,0
2024-04-12T19:59:59,S107,28.46248144,78.67770531,0
2024-04-12T18:59:59,S107,28.46248144,78.67770531,0
2024-04-12T17:59:59,S107,28.46248144,78.67770531,0
2024-04-12T16:59:59,S107,28.46248144,78.67770531,0
2024-04-12T15:59:59,S107,28.46248144,78.67770531,0
2024-04-12T14:59:59,S107,28.46248144,78.67770531,0
2024-04-12T13:59:59,S107,28.46248144,78.67770531,0.2
2024-04-12T12:59:59,S107,28.46248144,78.67770531,0.4
2024-04-12T11:59:59,S107,28.46248144,78.67770531,0.2
2024-04-12T10:59:59,S107,28.46248144,78.67770531,0.4
2024-04-12T09:59:59,S107,28.46248144,78.67770531,0.4
2024-04-12T08:59:59,S107,28.46248144,78.67770531,1
2024-04-12T07:59:59,S107,28.46248144,78.67770531,0
2024-04-12T06:59:59,S107,28.46248144,78.67770531,0
2024-04-12T05:59:59,S107,28.46248144,78.67770531,2
2024-04-12T04:59:59,S107,28.46248144,78.67770531,0
2024-04-12T03:59:59,S107,28.46248144,78.67770531,0
2024-04-12T02:59:59,S107,28.46248144,78.67770531,0
2024-04-12T01:59:59,S107,28.46248144,78.67770531,1
2024-04-12T00:59:59,S107,28.46248144,78.67770531,0
2024-04-11T23:59:59,S107,28.46248144,78.67770531,0
2024-04-11T22:59:59,S107,28.46248144,78.67770531,0
2024-04-11T21:59:59,S107,28.46248144,78.67770531,0
2024-04-11T20:59:59,S107,28.46248144,78.67770531,0
2024-04-11T19:59:59,S107,28.46248144,78.67770531,0
2024-04-11T18:59:59,S107,28.46248144,78.67770531,0
2024-04-11T17:59:59,S107,28.46248144,78.67770531,0
2024-04-11T16:59:59,S107,28.46248144,78.67770531,0
2024-04-11T15:59:59,S107,28.46248144,78.67770531,0
2024-04-11T14:59:59,S107,28.46248144,78.67770531,0
2024-04-11T13:59:59,S107,28.46248144,78.67770531,0
2024-04-11T12:59:59,S107,28.46248144,78.67770531,0
2024-04-11T11:59:59,S107,28.46248144,78.67770531,0
2024-04-11T10:59:59,S107,28.46248144,78.67770531,0
2024-04-11T09:59:59,S107,28.46248144,78.67770531,0
2024-04-11T08:59:59,S107,28.46248144,78.67770531,0
2024-04-11T07:59:59,S107,28.46248144,78.67770531,0
2024-04-11T06:59:59,S107,28.46248144,78.67770531,0
2024-04-11T05:59:59,S107,28.46248144,78.67770531,0
2024-04-11T04:59:59,S107,28.46248144,78.67770531,0.2
2024-04-11T03:59:59,S107,28.46248144,78.67770531,0
2024-04-11T02:59:59,S107,28.46248144,78.67770531,0
2024-04-11T01:59:59,S107,28.46248144,78.67770531,0
2024-04-11T00:59:59,S107,28.46248144,78.67770531,0
2024-04-10T23:59:59,S107,28.46248144,78.67770531,0
2024-04-10T22:59:59,S107,28.46248144,78.67770531,0
2024-04-10T21:59:59,S107,28.46248144,78.67770531,0
2024-04-10T20:59:59,S107,28.46248144,78.67770531,0
2024-04-10T19:59:59,S107,28.46248144,78.67770531,0
2024-04-10T18:59:59,S107,28.46248144,78.67770531,0
2024-04-10T17:59:59,S107,28.46248144,78.67770531,0
2024-04-10T16:59:59,S107,28.46248144,78.67770531,0
2024-04-10T15:59:59,S107,28.46248144,78.67770531,0
2024-04-10T14:59:59,S107,28.46248144,78.67770531,0
2024-04-10T13:59:59,S107,28.46248144,78.67770531,0
2024-04-10T12:59:59,S107,28.46248144,78.67770531,0
2024-04-10T11:59:59,S107,28.46248144,78.67770531,0
2024-04-10T10:59:59,S107,28.46248144,78.67770531,0
2024-04-10T09:59:59,S107,28.46248144,78.67770531,0
2024-04-10T08:59:59,S107,28.46248144,78.67770531,0
2024-04-10T07:59:59,S107,28.46248144,78.67770531,0
