Taxi Available throughout SG,temp_value,humidity_value,rainfall_value,peak_period,Average Taxi Availability,IsWeekend,Hour
0.5330467,0.7869823,0.7888325,0.0,1.0,0.337071,0.0,0.7826087
0.58543795,0.79585797,0.76040614,0.0,1.0,0.45191982,0.0,0.73913044
0.59215474,0.79881656,0.7583756,0.0,0.0,0.541964,0.0,0.6956522
0.6797421,0.7899409,0.8304569,0.0,0.0,0.50560653,0.0,0.65217394
0.6351424,0.7840237,0.82538074,0.0,0.0,0.42507645,0.0,0.6086956
0.56448144,0.7692308,0.84974617,0.0,0.0,0.5025484,0.0,0.5652174
0.573079,0.7662722,0.8680203,0.0,0.0,0.3849813,0.0,0.5217391
0.5166577,0.7426036,0.9035533,0.0,0.0,0.3730887,0.0,0.47826087
0.5711983,0.7218935,0.9502538,0.011235956,0.0,0.40910637,0.0,0.4347826
0.55373454,0.71597636,0.93299496,0.011235956,0.0,0.4199796,0.0,0.39130434
0.3747985,0.7248521,0.9401015,0.0,0.0,0.36731228,0.0,0.3478261
0.30037615,0.71597636,0.9492386,0.0,0.0,0.30682978,0.0,0.3043478
0.31918323,0.71005917,0.95634514,0.011235956,0.0,0.31906217,0.0,0.26086956
0.3627082,0.7071006,0.9614213,0.011235956,0.0,0.35813797,0.0,0.2173913
0.4132187,0.70414203,0.9532995,0.03370787,0.0,0.34760448,0.0,0.17391305
0.42907038,0.7189349,0.94314724,0.011235956,0.0,0.34760448,0.0,0.13043478
0.44116068,0.7337278,0.9370559,0.0,0.0,0.34624532,0.0,0.08695652
0.4368619,0.7366864,0.92385787,0.0,0.0,0.3567788,0.0,0.04347826
0.40462118,0.7426036,0.8903553,0.0,0.0,0.3537207,0.0,0.0
0.53895754,0.76035506,0.8862944,0.0,1.0,0.4260958,0.0,1.0
0.61284256,0.7840237,0.835533,0.0,1.0,0.406388,0.0,0.95652175
0.5405696,0.7869823,0.85989845,0.0,1.0,0.375807,0.0,0.9130435
0.6539495,0.7840237,0.85888326,0.0,1.0,0.41590214,0.0,0.8695652
0.6203654,0.7869823,0.8294416,0.0,1.0,0.4111451,0.0,0.82608694
0.5145083,0.80177516,0.78984773,0.0,1.0,0.36527354,0.0,0.7826087
0.57603437,0.8402367,0.7431472,0.0,1.0,0.4169215,0.0,0.73913044
0.5709296,0.8550296,0.7116751,0.0,0.0,0.52327555,0.0,0.6956522
0.63084364,0.8846154,0.67411166,0.0,0.0,0.5164798,0.0,0.65217394
0.67490596,0.8994083,0.6426396,0.0,0.0,0.5202175,0.0,0.6086956
0.5413756,0.8846154,0.66700506,0.0,0.0,0.48657835,0.0,0.5652174
0.70365393,0.8727811,0.6873096,0.0,0.0,0.35168195,0.0,0.5217391
0.5975282,0.8609468,0.6883249,0.0,0.0,0.40944612,0.0,0.47826087
0.6440086,0.8579882,0.7015228,0.0,0.0,0.41556233,0.0,0.4347826
0.69102633,0.8106509,0.7543148,0.0,0.0,0.4111451,0.0,0.39130434
0.4634605,0.7781065,0.8192893,0.0,0.0,0.33231395,0.0,0.3478261
0.3342289,0.7662722,0.8304569,0.0,0.0,0.3149847,0.0,0.3043478
0.40811393,0.75443786,0.85177666,0.0,0.0,0.3703704,0.0,0.26086956
0.40972596,0.75147927,0.8670051,0.0,0.0,0.362895,0.0,0.2173913
0.39871037,0.75147927,0.87106603,0.0,0.0,0.30784914,0.0,0.17391305
0.34685653,0.75739646,0.8629442,0.0,0.0,0.30648997,0.0,0.13043478
0.39871037,0.76035506,0.8527919,0.0,0.0,0.34420657,0.0,0.08695652
